ID,CC,NL,WMC,CBOI,NOI,AD,CD,CLOC,PUA,NA,NG,NLG,NS,TNM,bug
L70222,0.0,1,18,8,7,1.0,0.666667,160,0,1,2,2,0,13,0
L57358,0.0,0,5,3,0,1.0,0.757576,75,0,4,4,4,0,5,0
L117505,0.0,4,16,0,7,0.25,0.260274,19,3,2,0,0,2,4,0
L66611,0.0,1,14,5,1,1.0,0.851133,263,0,2,6,6,0,15,0
L130930,0.0,0,2,1,0,1.0,0.864865,32,0,0,0,0,0,2,0
L48699,0.20664200000000002,3,31,3,2,0.9375,0.684636,254,1,16,10,10,11,26,1
L130975,0.0,0,2,1,0,1.0,0.75,27,0,2,0,0,0,2,0
L48617,0.260052,5,104,10,6,0.975,0.8248639999999999,1818,1,70,26,20,24,57,1
L48459,0.0,1,32,20,0,1.0,0.751534,245,0,4,1,1,4,15,0
L131402,0.0,0,14,0,0,1.0,0.341969,66,0,0,0,0,0,14,0
L131531,0.0,3,32,1,43,1.0,0.54375,174,0,28,3,3,0,23,1
L6559,0.0,0,3,5,0,1.0,0.842593,91,0,5,2,2,0,3,0
L131772,0.270563,1,34,31,0,1.0,0.718518,291,0,20,0,0,0,22,0
L117523,0.0896703,8,95,0,13,1.0,0.3125,165,0,10,0,0,0,7,0
L133242,0.22402399999999997,3,80,13,14,1.0,0.687747,522,0,3,0,0,0,23,1
L67043,0.0860007,7,301,121,104,1.0,0.731154,3579,0,182,21,21,6,93,1
L3942,0.26217199999999996,2,16,225,3,1.0,0.550633,87,0,2,2,2,0,9,0
L134288,0.288761,5,56,0,17,1.0,0.662983,480,0,3,0,0,0,27,1
L134488,0.113201,5,428,49,17,1.0,0.47862899999999997,1299,0,54,34,34,0,71,1
L134829,0.033946300000000006,6,42,38,19,1.0,0.664459,301,0,2,0,0,0,80,0
L5923,0.0,0,5,57,7,1.0,0.847561,139,0,0,1,1,1,5,0
L2131,0.88746,1,20,17,2,1.0,0.530435,61,0,6,2,2,0,11,0
L2106,0.0,0,4,112,0,1.0,0.804511,107,0,563,11,4,3,16,0
L117634,0.17382999999999998,6,409,313,1,1.0,0.66328,2350,0,3,0,0,0,67,0
L2084,0.0,0,8,10,0,1.0,0.806723,96,0,2,0,0,0,8,1
L17036,0.0,0,5,5,0,1.0,0.890625,57,0,0,0,0,1,5,0
L7748,0.0,0,2,48,0,1.0,0.608696,14,0,1,0,0,0,2,0
L2165,0.0,2,14,7,12,1.0,0.696774,108,0,2,5,5,0,9,0
L117597,0.0,0,3,4,2,1.0,0.848485,56,0,0,0,0,0,3,0
L4656,0.22160900000000008,4,208,122,153,1.0,0.669718,1829,0,17,3,3,5,133,0
L119558,0.410163,9,1237,3,340,0.0348837,0.059952,300,83,12,2,2,23,158,1
L118872,0.275113,2,334,84,184,1.0,0.588496,1330,0,1,0,0,0,89,0
L2856,0.132772,4,214,192,29,1.0,0.687307,1554,0,102,11,11,6,76,0
L4877,0.0,7,96,13,62,1.0,0.5981569999999999,649,0,19,0,0,14,24,1
L120477,0.06538290000000001,5,131,2,28,0.125,0.03125,12,7,14,0,0,0,352,0
L4274,0.0,2,6,13,1,1.0,0.79798,79,0,1,0,0,0,4,0
L120472,0.0,3,44,2,8,1.0,0.268908,32,0,2,0,0,0,181,0
L5402,0.0,0,170,99,0,1.0,0.819485,1943,0,1,0,0,0,170,0
L3415,0.395455,2,20,26,11,1.0,0.702222,158,0,107,18,3,9,92,0
L2904,0.49431800000000004,2,16,22,9,1.0,0.641026,100,0,103,13,2,7,78,0
L118728,0.0,2,63,8,32,0.13333299999999998,0.0731707,15,13,10,10,10,0,17,1
L7915,0.20197,2,26,20,31,1.0,0.515021,120,0,112,18,1,9,97,0
L2859,0.29918,2,43,21,33,1.0,0.495979,185,0,114,18,4,11,88,0
L52631,0.0,1,14,19,13,1.0,0.6125,98,0,105,11,1,6,66,0
L52639,0.340961,2,27,11,16,1.0,0.508475,120,0,107,13,3,8,73,0
L52649,0.196653,2,27,11,23,1.0,0.565371,160,0,109,13,3,8,75,0
L3089,0.0,1,13,13,11,1.0,0.569231,74,0,105,11,1,6,70,0
