ID,Line,EndLine,CC,NL,WMC,CBOI,NOI,AD,CD,CLOC,PUA,NA,NG,NLG,NS,TNM,bug
L70222,25,267,0.0,1,18,8,7,1.0,0.666667,160,0,1,2,2,0,13,0
L57358,47,117,0.0,0,5,3,0,1.0,0.757576,75,0,4,4,4,0,5,0
L117505,40,98,0.0,4,16,0,7,0.25,0.260274,19,3,2,0,0,2,4,0
L66611,44,366,0.0,1,14,5,1,1.0,0.851133,263,0,2,6,6,0,15,0
L130930,26,52,0.0,0,2,1,0,1.0,0.864865,32,0,0,0,0,0,2,0
L48699,25,403,0.206642,3,31,3,2,0.9375,0.684636,254,1,16,10,10,11,26,1
L130975,24,51,0.0,0,2,1,0,1.0,0.75,27,0,2,0,0,0,2,0
L48617,53,2278,0.260052,5,104,10,6,0.975,0.8248639999999999,1818,1,70,26,20,24,57,1
L48459,54,358,0.0,1,32,20,0,1.0,0.751534,245,0,4,1,1,4,15,0
L131402,25,221,0.0,0,14,0,0,1.0,0.341969,66,0,0,0,0,0,14,0
L131531,33,469,0.0,3,32,1,43,1.0,0.54375,174,0,28,3,3,0,23,1
L6559,29,128,0.0,0,3,5,0,1.0,0.842593,91,0,5,2,2,0,3,0
L131772,32,422,0.270563,1,34,31,0,1.0,0.718518,291,0,20,0,0,0,22,0
L117523,53,575,0.0896703,8,95,0,13,1.0,0.3125,165,0,10,0,0,0,7,0
L133242,38,808,0.224024,3,80,13,14,1.0,0.687747,522,0,3,0,0,0,23,1
L67043,155,4908,0.0860007,7,301,121,104,1.0,0.731154,3579,0,182,21,21,6,93,4
L3942,36,176,0.262172,2,16,225,3,1.0,0.550633,87,0,2,2,2,0,9,0
L134288,50,945,0.288761,5,56,0,17,1.0,0.662983,480,0,3,0,0,0,27,2
L134488,143,2790,0.113201,5,428,49,17,1.0,0.478629,1299,0,54,34,34,0,71,1
L134829,52,496,0.033946300000000006,6,42,38,19,1.0,0.664459,301,0,2,0,0,0,80,0
L5923,38,192,0.0,0,5,57,7,1.0,0.847561,139,0,0,1,1,1,5,0
L2131,28,141,0.88746,1,20,17,2,1.0,0.530435,61,0,6,2,2,0,11,0
L2106,60,152,0.0,0,4,112,0,1.0,0.804511,107,0,563,11,4,3,16,0
L117634,22,3666,0.17382999999999998,6,409,313,1,1.0,0.66328,2350,0,3,0,0,0,67,0
L2084,39,147,0.0,0,8,10,0,1.0,0.806723,96,0,2,0,0,0,8,1
L17036,27,87,0.0,0,5,5,0,1.0,0.890625,57,0,0,0,0,1,5,0
L7748,20,38,0.0,0,2,48,0,1.0,0.608696,14,0,1,0,0,0,2,0
L2165,49,194,0.0,2,14,7,12,1.0,0.696774,108,0,2,5,5,0,9,0
L117597,27,86,0.0,0,3,4,2,1.0,0.848485,56,0,0,0,0,0,3,0
L4656,96,2896,0.22160900000000006,4,208,122,153,1.0,0.669718,1829,0,17,3,3,5,133,0
L119558,59,5221,0.410163,9,1237,3,340,0.0348837,0.059952,300,83,12,2,2,23,158,1
L118872,46,2366,0.275113,2,334,84,184,1.0,0.588496,1330,0,1,0,0,0,89,0
L2856,123,2742,0.132772,4,214,192,29,1.0,0.687307,1554,0,102,11,11,6,76,0
L4877,83,1159,0.0,7,96,13,62,1.0,0.5981569999999999,649,0,19,0,0,14,24,1
L120477,28,449,0.06538290000000001,5,131,2,28,0.125,0.03125,12,7,14,0,0,0,352,0
